,track_title,album,release_date_clean,avg_arousal_x,avg_valence_x,mania_index_x,depression_index_x,track_emo_score
0,Intro,The College Dropout,10.02.2004,90.0,80.0,117.00000000000001,10.999999999999998,147.84
1,We Don't Care,The College Dropout,10.02.2004,65.0,72.3076923076923,79.50000000000001,23.5,22.054153846153845
2,Graduation Day,The College Dropout,10.02.2004,72.5,35.689655172413794,86.125,39.1875,11.653805172413795
3,All Falls Down,The College Dropout,10.02.2004,52.5,18.095238095238095,69.25000000000001,61.00000000000001,-1.8274285714285716
4,I'll Fly Away,The College Dropout,10.02.2004,45.0,42.5,50.62500000000001,44.56249999999999,-1.7824500000000005
5,Spaceship,The College Dropout,10.02.2004,61.666666666666664,47.2972972972973,76.00000000000001,32.083333333333336,4.8631767767767755
6,Jesus Walks,The College Dropout,10.02.2004,50.0,45.833333333333336,55.25000000000001,39.791666666666664,-0.0
7,Never Let Me Down,The College Dropout,10.02.2004,58.75,52.02127659574468,68.1875,34.65625,3.6455441489361693
8,Get Em High,The College Dropout,10.02.2004,78.33333333333333,83.19148936170212,104.33333333333333,10.083333333333332,84.64646430260044
9,Workout Plan,The College Dropout,10.02.2004,51.666666666666664,69.19354838709677,61.583333333333336,23.70833333333334,1.1161899641577038
10,The New Workout Plan,The College Dropout,10.02.2004,51.666666666666664,69.51612903225806,61.75000000000001,23.791666666666664,1.1335825567502968
11,Slow Jamz,The College Dropout,10.02.2004,65.0,45.0,74.75,37.125,7.0254
12,Breathe In Breathe Out,The College Dropout,10.02.2004,60.0,60.0,66.0,27.999999999999996,7.302400000000002
13,School Spirit Skit 1,The College Dropout,10.02.2004,48.333333333333336,65.17241379310344,57.99999999999999,29.916666666666657,0.6343867177522341
14,School Spirit,The College Dropout,10.02.2004,52.5,57.857142857142854,56.625,31.437499999999996,0.8067214285714285
15,School Spirit Skit 2,The College Dropout,10.02.2004,80.0,60.0,88.00000000000001,24.0,54.432
16,Lil Jimmy Skit,The College Dropout,10.02.2004,50.0,68.33333333333333,59.166666666666664,23.749999999999996,0.0
17,Two Words,The College Dropout,10.02.2004,75.0,27.583333333333332,93.4375,44.09375,9.135612500000002
18,Through the Wire,The College Dropout,10.02.2004,75.0,78.55555555555556,96.41666666666667,13.624999999999998,61.727977777777774
19,Family Business,The College Dropout,10.02.2004,50.0,62.625,56.3125,29.40625,0.0
20,Last Call,The College Dropout,10.02.2004,80.0,69.375,109.5,24.416666666666668,71.84849999999999
21,Wake Up Mr. West,Late Registration,30.08.2005,60.0,31.25,71.25,49.37500000000001,-1.5274999999999987
22,Heard 'Em Say,Late Registration,30.08.2005,76.66666666666667,59.130434782608695,102.33333333333334,24.333333333333332,46.44483091787441
23,Touch the Sky,Late Registration,30.08.2005,58.333333333333336,72.0,73.5,25.166666666666664,9.182814814814819
24,Gold Digger,Late Registration,30.08.2005,72.5,9.482758620689655,101.875,57.18749999999999,-7.709663793103449
25,Skit #1,Late Registration,30.08.2005,50.0,50.0,0.0,0.0,0.0
26,Drive Slow,Late Registration,30.08.2005,45.0,64.44444444444444,55.00000000000001,31.999999999999996,1.1050666666666664
27,My Way Home,Late Registration,30.08.2005,53.75,60.46511627906977,65.375,33.125,1.7509604651162791
28,Crack Music,Late Registration,30.08.2005,65.0,27.435897435897434,79.66666666666667,48.08333333333333,-1.1563076923076925
29,Roses,Late Registration,30.08.2005,68.0,29.63235294117647,82.85,44.074999999999996,2.055935011764706
30,Bring Me Down,Late Registration,30.08.2005,65.0,56.282051282051285,83.25,24.124999999999996,13.936846153846155
31,Addiction,Late Registration,30.08.2005,58.333333333333336,30.0,70.0,51.25000000000001,-2.044444444444444
32,Skit #2,Late Registration,30.08.2005,50.0,50.0,0.0,0.0,0.0
33,Diamonds from Sierra Leone (Remix),,30.08.2005,55.0,38.29545454545455,68.3125,44.28125000000001,-0.7207693181818179
34,We Major,Late Registration,30.08.2005,55.0,41.81818181818182,67.0,37.33333333333333,-0.22496969696969654
35,Skit #3,Late Registration,30.08.2005,50.0,50.0,0.0,0.0,0.0
36,Hey Mama,Late Registration,30.08.2005,62.5,50.46666666666667,78.54166666666667,31.187499999999996,7.087203333333336
37,Celebration,Late Registration,30.08.2005,56.666666666666664,80.0,73.66666666666667,17.666666666666668,9.009777777777773
38,Skit #4,Late Registration,30.08.2005,50.0,50.0,0.0,0.0,0.0
39,Gone,Late Registration,30.08.2005,41.666666666666664,25.4,51.916666666666664,59.458333333333336,-6.711308148148152
40,Diamonds from Sierra Leone,Late Registration,30.08.2005,48.333333333333336,34.48275862068966,57.50000000000001,50.83333333333333,-0.7474227330779042
41,Late,Late Registration,30.08.2005,58.75,19.148936170212767,76.875,57.50000000000001,-4.653175531914893
42,Good Morning,Graduation,11.09.2007,63.333333333333336,70.92105263157895,78.91666666666667,25.791666666666664,17.646666666666672
43,Champion,Graduation,11.09.2007,57.5,70.54347826086956,72.0625,21.53125,7.720322282608693
44,Stronger,Graduation,11.09.2007,56.25,41.0,66.3125,39.65625,-0.12132499999999992
45,I Wonder,Graduation,11.09.2007,70.0,58.69047619047619,78.75000000000001,25.541666666666668,24.19560000000001
46,Good Life,Graduation,11.09.2007,60.0,80.20833333333333,78.125,15.312500000000002,15.701125000000001
47,Can't Tell Me Nothing,Graduation,11.09.2007,61.25,35.0,75.6875,42.59375,7.89836945847e-16
48,Barry Bonds,Graduation,11.09.2007,61.25,35.0,75.6875,42.59375,7.89836945847e-16
49,Drunk and Hot Girls,Graduation,11.09.2007,63.333333333333336,65.26315789473684,76.33333333333333,25.666666666666664,14.858729044834305
50,Flashing Lights,Graduation,11.09.2007,41.666666666666664,50.0,52.66666666666667,44.583333333333336,-2.3659259259259273
51,Everything I Am,Graduation,11.09.2007,71.66666666666667,72.55813953488372,87.83333333333333,20.166666666666664,41.234450301464264
52,The Glory,Graduation,11.09.2007,56.666666666666664,75.1470588235294,70.91666666666669,17.958333333333336,7.752935076252719
53,Homecoming,Graduation,11.09.2007,61.25,63.06122448979592,73.25000000000001,23.687500000000004,10.580625000000001
54,Big Brother,Graduation,11.09.2007,65.0,46.69230769230769,78.05000000000001,34.675,8.094433846153846
55,Say You Will,808s & Heartbreak,24.11.2008,58.333333333333336,29.428571428571427,72.00000000000001,46.08333333333333,-2.284351322751323
56,Welcome to Heartbreak,808s & Heartbreak,24.11.2008,47.5,44.473684210526315,55.125,44.3125,-0.5775605263157896
57,Heartless,808s & Heartbreak,24.11.2008,65.0,28.974358974358974,80.33333333333333,45.24999999999999,-0.47286153846153806
58,Amazing,808s & Heartbreak,24.11.2008,61.25,48.46938775510204,73.43750000000001,34.21875,4.777760204081633
59,Love Lockdown,808s & Heartbreak,24.11.2008,51.666666666666664,67.09677419354838,62.83333333333333,28.166666666666668,0.987071923536438
60,Paranoid,808s & Heartbreak,24.11.2008,60.0,41.111111111111114,72.16666666666667,37.33333333333333,1.3639111111111133
61,RoboCop,808s & Heartbreak,24.11.2008,56.666666666666664,40.44117647058823,68.75,41.458333333333336,-0.1305925925925937
62,Street Lights,808s & Heartbreak,24.11.2008,50.0,45.666666666666664,57.83333333333333,38.08333333333333,-0.0
63,Bad News,808s & Heartbreak,24.11.2008,50.0,20.333333333333332,64.83333333333333,58.416666666666664,-0.0
64,See You in My Nightmares,808s & Heartbreak,24.11.2008,43.333333333333336,33.46153846153846,52.166666666666664,53.91666666666667,-4.0114188034188025
65,Coldest Winter,808s & Heartbreak,24.11.2008,50.0,51.0,63.5,41.083333333333336,0.0
66,Pinocchio Story (Freestyle Live From Singapore),,24.11.2008,76.66666666666667,68.91304347826087,99.83333333333331,21.41666666666666,56.72868276972627
67,Dark Fantasy,MBDTF,22.11.2010,61.666666666666664,43.108108108108105,76.75,37.45833333333333,3.188343743743742
68,Gorgeous,MBDTF,22.11.2010,55.0,50.303030303030305,67.16666666666666,34.66666666666667,1.0538181818181824
69,POWER,MBDTF,22.11.2010,58.333333333333336,37.42857142857143,67.50000000000001,41.75,-0.35222857142856995
70,All of the Lights (Interlude),,22.11.2010,52.5,66.9047619047619,61.375,23.812499999999996,1.579178571428571
71,All of the Lights,MBDTF,22.11.2010,41.666666666666664,23.4,52.75,62.37499999999999,-6.9614711111111145
72,Monster,MBDTF,22.11.2010,81.66666666666667,33.97959183673469,99.75,38.041666666666664,29.743949962207115
73,So Appalled,MBDTF,22.11.2010,53.333333333333336,57.1875,63.16666666666667,33.583333333333336,1.1507870370370379
74,Devil in a New Dress,MBDTF,22.11.2010,58.333333333333336,37.857142857142854,70.91666666666669,43.541666666666664,-0.2515396825396821
75,Runaway,MBDTF,22.11.2010,66.66666666666667,61.375,79.74999999999999,30.458333333333325,18.738290740740755
76,Hell of a Life,,22.11.2010,61.0,58.52459016393443,75.50000000000001,33.35,8.186996039344264
77,Blame Game,MBDTF,22.11.2010,56.666666666666664,46.76470588235294,72.5,41.583333333333336,1.128306753812635
78,Lost in the World,MBDTF,22.11.2010,78.33333333333333,44.46808510638298,99.66666666666667,34.916666666666664,33.28546950354608
79,Who Will Survive in America,,22.11.2010,60.0,30.694444444444443,73.41666666666667,47.541666666666664,-1.7300333333333326
80,No Church in the Wild,Watch the Throne,08.08.2011,45.0,52.407407407407405,54.083333333333336,42.625,-0.5579629629629634
81,Lift Off,Watch the Throne,08.08.2011,60.0,61.388888888888886,76.00000000000001,28.41666666666666,8.191955555555555
82,Niggas in Paris,Watch the Throne,08.08.2011,56.666666666666664,63.8235294117647,70.33333333333333,36.41666666666667,4.620008714596946
83,Otis,Watch the Throne,08.08.2011,50.0,69.33333333333333,62.0,28.999999999999996,0.0
84,Gotta Have It,Watch the Throne,08.08.2011,48.333333333333336,42.41379310344828,59.50000000000001,52.75,-0.41352337164750874
85,New Day,Watch the Throne,08.08.2011,51.666666666666664,66.7741935483871,60.333333333333336,24.749999999999996,0.9761624850657099
86,That's My Bitch,Watch the Throne,08.08.2011,45.0,52.77777777777778,48.58333333333334,37.70833333333333,-0.5072666666666669
87,Welcome to the Jungle,Watch the Throne,08.08.2011,68.33333333333333,23.902439024390244,86.16666666666667,50.66666666666667,-0.9339447154471567
88,Who Gon Stop Me,Watch the Throne,08.08.2011,45.0,57.22222222222222,54.083333333333336,42.041666666666664,0.0730888888888886
89,Murder to Excellence,Watch the Throne,08.08.2011,55.0,76.96969696969697,69.83333333333334,17.0,5.742400000000002
90,Made in America,Watch the Throne,08.08.2011,40.0,73.75,49.50000000000001,19.75,3.094999999999999
91,Why I Love You,Watch the Throne,08.08.2011,65.0,46.53846153846154,78.75,32.625,8.150815384615385
92,On Sight,Yeezus,18.06.2013,74.0,32.2972972972973,91.5,39.949999999999996,11.631457556756759
93,Black Skinhead,Yeezus,18.06.2013,75.0,55.888888888888886,93.58333333333334,26.791666666666664,36.10797777777778
94,I Am a God,Yeezus,18.06.2013,55.0,66.36363636363636,65.75,26.999999999999996,3.620363636363637
95,New Slaves,Yeezus,18.06.2013,56.25,35.55555555555556,66.0,48.12500000000001,-1.0477499999999995
96,Hold My Liquor,Yeezus,18.06.2013,72.5,55.94827586206897,97.3125,27.781249999999996,30.210032327586216
97,I'm in It,,18.06.2013,50.0,44.0,59.00000000000001,46.00000000000001,-0.0
98,Blood on the Leaves,Yeezus,18.06.2013,58.75,39.04255319148936,70.6875,42.09375,0.18300531914893584
99,Guilt Trip,Yeezus,18.06.2013,55.0,47.84090909090909,64.0625,36.90624999999999,0.6584215909090917
100,Send It Up,Yeezus,18.06.2013,57.5,48.80434782608695,69.18749999999999,34.03124999999999,2.0305027173913035
101,Bound 2,Yeezus,18.06.2013,66.66666666666667,34.375,84.41666666666667,41.45833333333333,3.5457870370370426
102,Ultralight Beam,The Life of Pablo,14.02.2016,62.0,81.61290322580645,81.60000000000001,14.299999999999999,21.095334812903225
103,"Father Stretch My Hands, Pt. 1",,14.02.2016,67.5,35.648148148148145,86.1875,40.78124999999999,5.142481944444442
