date,2_month_rolling_mean
2013-05-18,
2013-06-14,
2013-06-18,
2013-07-01,
2013-07-04,
2013-07-08,
2013-07-09,
2013-07-20,
2013-07-22,
2013-08-30,
2013-09-05,
2013-09-13,
2013-09-30,
2013-11-15,
2013-11-19,39.20366666666667
2013-11-27,43.163000000000004
2013-12-09,48.44206666666666
2014-01-09,48.44206666666666
2014-01-10,46.5894
2014-02-10,48.85051111111112
2014-02-25,49.39184444444445
2014-03-24,51.44384444444445
2014-03-26,51.12451111111111
2014-05-08,50.427844444444446
2014-06-18,56.47217777777778
2014-10-06,53.858177777777776
2014-11-04,52.455844444444445
2015-02-02,52.489177777777776
2015-02-16,53.95851111111111
2015-02-20,51.025177777777785
2015-02-21,52.84251111111111
2015-02-22,51.016777777777776
2015-03-01,54.29877777777778
2015-03-02,54.647444444444446
2015-03-03,52.38633333333333
2015-03-16,51.14366666666667
2015-03-17,46.522999999999996
2015-04-10,49.17100000000001
2015-04-11,49.867666666666665
2015-04-20,48.083666666666666
2015-10-10,50.731
2015-10-31,51.94266666666667
2015-12-04,53.09
2015-12-13,53.02333333333333
2015-12-30,55.22666666666667
2016-01-08,55.22666666666667
2016-01-22,54.49777777777778
2016-01-23,53.891777777777776
2016-01-27,58.56244444444444
2016-01-30,61.14311111111111
2016-02-03,58.39311111111111
2016-02-04,62.41631111111111
2016-02-08,59.82964444444444
2016-02-09,54.12186666666667
2016-02-11,56.702533333333335
2016-02-12,53.657066666666665
2016-02-13,52.063691666666664
2016-02-14,49.57689166666667
2016-02-15,47.559558333333335
2016-02-16,44.717724999999994
2016-02-17,41.612836111111115
2016-02-24,42.927683333333334
2016-02-25,40.31368333333333
2016-02-27,38.64635
2016-03-02,36.91042407407407
2016-03-05,42.05042407407407
2016-03-06,41.34289074074074
2016-03-07,43.299557407407406
2016-03-09,46.4375745014245
2016-03-10,42.755041168091175
2016-03-12,40.09484116809117
2016-03-13,38.43254950142451
2016-03-14,39.9943495014245
2016-03-15,38.633016168091174
2016-03-22,38.9334420940171
2016-03-23,40.18966431623932
2016-03-30,37.729372649572646
2016-03-31,40.94937264957265
2016-04-02,41.23937264957265
2016-05-03,41.69129857549858
2016-05-08,37.132631908831904
2016-05-12,39.33429857549858
2016-05-16,39.48963190883191
2016-05-18,40.053392592592594
2016-05-19,43.73592592592592
2016-05-21,47.36892592592593
2016-06-03,48.84059259259259
2016-06-06,45.97803703703703
2016-06-11,48.65537037037037
2016-06-17,49.24477777777778
2016-06-21,48.608111111111114
2016-06-24,50.27194444444444
2016-06-25,50.305277777777775
2016-06-27,51.19727777777778
2016-06-28,47.55361111111111
2016-06-29,49.72227777777778
2016-06-30,44.97094444444444
2016-07-02,44.457351851851854
2016-07-03,42.79679629629629
2016-07-04,39.366224867724874
2016-07-06,38.660224867724864
2016-07-27,41.24089153439153
2016-07-31,43.88111375661376
2016-08-01,41.937113756613755
2016-08-12,42.03178042328043
2016-08-18,44.51711375661376
2016-08-21,45.834947089947086
2016-09-04,44.82294708994709
2016-09-09,44.709280423280426
2018-04-16,49.60361375661376
2018-04-17,48.291947089947094
2018-04-18,50.345947089947096
2018-04-19,50.81630158730159
2018-04-20,50.81685714285715
2018-04-21,47.70742857142857
2018-04-22,45.07776190476191
2018-04-23,43.907539682539685
2018-04-24,41.98744444444445
2018-04-25,41.67562152777778
2018-04-26,40.72333581349206
2018-04-28,38.49800248015874
2018-04-29,35.95033581349207
2018-04-30,33.40491914682539
2018-05-01,31.441052480158735
2018-05-02,27.71105248015873
2018-05-04,28.166941369047617
2018-05-05,27.61094136904762
2018-05-06,28.368046130952383
2018-05-07,32.03404613095238
2018-05-08,38.50737946428571
2018-05-21,40.67260168650794
2018-05-25,35.26949057539683
2018-06-01,39.2289191468254
2018-06-02,39.25340873015873
2018-06-06,42.72636111111112
2018-06-08,44.34569444444445
2018-06-11,46.642472222222224
2018-06-12,44.223444444444446
2018-06-13,44.01731111111111
2018-06-14,44.65889444444445
2018-06-18,48.763338888888896
2018-06-22,46.432005555555556
2018-07-07,46.19280555555555
2018-07-08,43.547472222222225
2018-07-10,39.28613888888889
2018-07-12,42.01658333333333
2018-07-13,47.917249999999996
2018-07-14,43.99308333333334
2018-07-15,43.86508333333334
2018-07-27,40.678416666666664
2018-07-29,38.79908333333333
2018-08-11,40.36130555555555
2018-08-13,40.21308333333334
2018-08-17,37.99608333333334
2018-08-19,33.97183333333333
2018-08-20,30.14154761904762
2018-08-21,32.41643650793651
2018-08-22,32.956769841269846
2018-08-26,35.63543650793651
2018-08-27,37.70267460317461
2018-08-28,34.593341269841275
2018-08-30,28.72600793650794
2018-09-02,27.64550793650794
2018-09-05,27.240248677248683
2018-09-07,26.361582010582016
2018-09-08,23.662915343915348
2018-09-10,22.1664304954305
2018-09-11,25.610430495430496
2018-09-12,28.930430495430503
2018-09-13,35.75676382876383
2018-09-14,33.113716209716216
2018-09-15,34.20516065416066
2018-09-16,34.26904954304954
2018-09-17,30.92611620971621
2018-09-18,30.81121144781145
2018-09-20,29.404735257335258
2018-09-22,32.38750448810449
2018-09-23,34.57270448810449
2018-09-24,36.22713041403041
2018-09-25,38.31979708069708
2018-09-26,43.59913041403042
2018-09-27,42.90204663506428
2018-09-28,41.772046635064285
2018-09-29,41.70537996839762
2018-09-30,38.93642441284206
2018-10-01,44.152757746175396
2018-10-02,43.6701577461754
2018-10-03,41.50793552395317
2018-10-13,40.61820219061984
2018-10-14,39.655424412842066
2018-10-16,38.50478949220714
2018-10-18,39.44802026143791
2018-10-19,39.30282026143791
