album_title,genres,critic_score,user_score,track_number,track_title,track_length,featured_artists,track_rating,track_rating_count,release_year,release_month,spotify_found,spotify_query,track_id,track_uri,popularity,danceability,energy,valence,tempo,loudness,speechiness,instrumentalness,liveness,acousticness
Donda 2,"Trap, Experimental Hip Hop, Pop Rap, Alternative R&B, Contemporary R&B",46,33,6,Security,2:16,,54,580,2022,2,1,"track:""Security""",20atdt1Upmx1npN3zY4JtM,spotify:track:20atdt1Upmx1npN3zY4JtM,52.0,,,,,,,,,
Donda 2,"Trap, Experimental Hip Hop, Pop Rap, Alternative R&B, Contemporary R&B",46,33,7,We Did It Kid,2:48,,62,566,2022,2,1,"track:""We Did It Kid""",51kh9DoMGLNjg8jxJGtre2,spotify:track:51kh9DoMGLNjg8jxJGtre2,0.0,,,,,,,,,
Donda 2,"Trap, Experimental Hip Hop, Pop Rap, Alternative R&B, Contemporary R&B",46,33,8,Pablo,2:34,,60,573,2022,2,1,"track:""Pablo""",6T7nvmQRL9frqHSh8V9quP,spotify:track:6T7nvmQRL9frqHSh8V9quP,45.0,,,,,,,,,
Donda 2,"Trap, Experimental Hip Hop, Pop Rap, Alternative R&B, Contemporary R&B",46,33,9,Louie Bags,3:13,,39,557,2022,2,1,"track:""Louie Bags""",5bu1Sbx3E2nNHzQUYXeAAj,spotify:track:5bu1Sbx3E2nNHzQUYXeAAj,50.0,,,,,,,,,
Donda 2,"Trap, Experimental Hip Hop, Pop Rap, Alternative R&B, Contemporary R&B",46,33,10,Happy,4:45,,49,549,2022,2,1,"track:""Happy""",27RYrbL6S02LNVhDWVl38b,spotify:track:27RYrbL6S02LNVhDWVl38b,90.0,,,,,,,,,
Donda 2,"Trap, Experimental Hip Hop, Pop Rap, Alternative R&B, Contemporary R&B",46,33,11,Sci Fi,4:00,,47,543,2022,2,1,"track:""Sci Fi""",3fhYAsNRR99ETnqrBZdAy0,spotify:track:3fhYAsNRR99ETnqrBZdAy0,71.0,,,,,,,,,
Donda 2,"Trap, Experimental Hip Hop, Pop Rap, Alternative R&B, Contemporary R&B",46,33,12,Selfish,1:39,,44,527,2022,2,1,"track:""Selfish""",4lhOzoYujY5YD3anyw68hp,spotify:track:4lhOzoYujY5YD3anyw68hp,72.0,,,,,,,,,
Donda 2,"Trap, Experimental Hip Hop, Pop Rap, Alternative R&B, Contemporary R&B",46,33,13,Lord Lift Me Up,2:09,,46,539,2022,2,1,"track:""Lord Lift Me Up""",1RopXkbl5fE7gf7fjQIKRf,spotify:track:1RopXkbl5fE7gf7fjQIKRf,50.0,,,,,,,,,
Donda 2,"Trap, Experimental Hip Hop, Pop Rap, Alternative R&B, Contemporary R&B",46,33,14,City of Gods,4:16,,69,580,2022,2,1,"track:""City of Gods""",4huBDGP4I3S0pYI0EaRN1c,spotify:track:4huBDGP4I3S0pYI0EaRN1c,57.0,,,,,,,,,
Donda 2,"Trap, Experimental Hip Hop, Pop Rap, Alternative R&B, Contemporary R&B",46,33,15,First Time in a Long Time,3:04,,50,543,2022,2,1,"track:""First Time in a Long Time""",7aUzsxDB0DYz7IHX83b2b4,spotify:track:7aUzsxDB0DYz7IHX83b2b4,53.0,,,,,,,,,
Donda 2,"Trap, Experimental Hip Hop, Pop Rap, Alternative R&B, Contemporary R&B",46,33,16,Eazy,3:54,,56,507,2022,2,1,"track:""Eazy""",6sGIMrtIzQjdzNndVxe397,spotify:track:6sGIMrtIzQjdzNndVxe397,95.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,1,STARS,1:55,,70,4110,2024,2,1,"track:""STARS""",75CgD6l7K4qMzZrn4CbZqz,spotify:track:75CgD6l7K4qMzZrn4CbZqz,77.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,2,KEYS TO MY LIFE,2:54,,56,3945,2024,2,1,"track:""KEYS TO MY LIFE""",4iVmy1j5C3XNxpN11RXRaO,spotify:track:4iVmy1j5C3XNxpN11RXRaO,57.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,3,PAID,3:15,,56,4001,2024,2,1,"track:""PAID""",4IrUBK4fJp0gPleQXuCymu,spotify:track:4IrUBK4fJp0gPleQXuCymu,75.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,4,TALKING,3:05,,56,3989,2024,2,1,"track:""TALKING""",1wVuPmvt6AWvTL5W2GJnzZ,spotify:track:1wVuPmvt6AWvTL5W2GJnzZ,78.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,5,BACK TO ME,4:55,,66,4076,2024,2,1,"track:""BACK TO ME""",3u6WrqHLhkVSuXrevtPkof,spotify:track:3u6WrqHLhkVSuXrevtPkof,37.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,6,HOODRAT,3:42,,40,4048,2024,2,1,"track:""HOODRAT""",0Ah7O76JL0pyn84jI7NPbr,spotify:track:0Ah7O76JL0pyn84jI7NPbr,55.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,7,DO IT,3:45,,64,3927,2024,2,1,"track:""DO IT""",1KuNhOubescxn3xD6WNI7Q,spotify:track:1KuNhOubescxn3xD6WNI7Q,85.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,8,PAPERWORK,2:25,,53,3909,2024,2,1,"track:""PAPERWORK""",2jf0ooqmXMqaGqh0bdYsHR,spotify:track:2jf0ooqmXMqaGqh0bdYsHR,57.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,9,BURN,1:51,,81,4225,2024,2,1,"track:""BURN""",6aybzjLxocD14YySwF3aus,spotify:track:6aybzjLxocD14YySwF3aus,77.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,10,FUK SUMN,3:29,,66,4015,2024,2,1,"track:""FUK SUMN""",0cbVD7WpHVdHUKwoolzhCZ,spotify:track:0cbVD7WpHVdHUKwoolzhCZ,70.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,11,VULTURES,4:36,,45,4000,2024,2,1,"track:""VULTURES""",1IdTIzkTK6CcpKKgMUGbg7,spotify:track:1IdTIzkTK6CcpKKgMUGbg7,62.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,12,CARNIVAL,4:24,,62,4195,2024,2,1,"track:""CARNIVAL""",2McT2fkH0VDqPsbiB9HWPq,spotify:track:2McT2fkH0VDqPsbiB9HWPq,80.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,13,BEG FORGIVENESS,6:09,,57,3871,2024,2,1,"track:""BEG FORGIVENESS""",2anbsZVE7y9yhI4KD7QYI0,spotify:track:2anbsZVE7y9yhI4KD7QYI0,59.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,14,GOOD (DON'T DIE),3:19,,65,3471,2024,2,1,"track:""GOOD (DON'T DIE)""",0JJpXS48zDTlkjaRyGZacA,spotify:track:0JJpXS48zDTlkjaRyGZacA,36.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,15,PROBLEMATIC,3:14,,59,3859,2024,2,1,"track:""PROBLEMATIC""",0I2BCIvlzrb6Iix9hAbQFF,spotify:track:0I2BCIvlzrb6Iix9hAbQFF,63.0,,,,,,,,,
VULTURES 1,"Pop Rap, Trap, Alternative R&B, Hip House, Experimental Hip Hop",43,46,16,KING,2:36,,44,3883,2024,2,1,"track:""KING""",3AeicLnm55RqcXGBKYQolM,spotify:track:3AeicLnm55RqcXGBKYQolM,74.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,1,SLIDE,3:18,,65,3194,2024,8,1,"track:""SLIDE""",6jAc3YHbqtYNZh8s7VjTMX,spotify:track:6jAc3YHbqtYNZh8s7VjTMX,51.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,2,TIME MOVING SLOW,2:39,,46,3030,2024,8,1,"track:""TIME MOVING SLOW""",0JgassGI6jNxpX82jGpcuJ,spotify:track:0JgassGI6jNxpX82jGpcuJ,55.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,3,FIELD TRIP,2:47,,61,3166,2024,8,1,"track:""FIELD TRIP""",7vv89PswQvqGKCGJ1rw5on,spotify:track:7vv89PswQvqGKCGJ1rw5on,72.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,4,FRIED,2:59,,46,3060,2024,8,1,"track:""FRIED""",6RB9YvNyP0RZfCUcMtZELH,spotify:track:6RB9YvNyP0RZfCUcMtZELH,74.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,5,ISABELLA,0:08,,16,1922,2024,8,1,"track:""ISABELLA""",4o4is1YPSaboVAeDi6t5hn,spotify:track:4o4is1YPSaboVAeDi6t5hn,49.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,6,PROMOTION,2:38,,55,3000,2024,8,1,"track:""PROMOTION""",6bSfeCXlUaGa3eWCy5qPTb,spotify:track:6bSfeCXlUaGa3eWCy5qPTb,63.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,7,HUSBAND,2:17,,24,3011,2024,8,1,"track:""HUSBAND""",55lijDD6OAjLFFUHU9tcDm,spotify:track:55lijDD6OAjLFFUHU9tcDm,95.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,8,LIFESTYLE,3:23,,40,2928,2024,8,1,"track:""LIFESTYLE""",7DTlsMOQjGysXHpwwpHuPl,spotify:track:7DTlsMOQjGysXHpwwpHuPl,71.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,9,FOREVER,2:15,,36,2855,2024,8,1,"track:""FOREVER""",4S1VYqwfkLit9mKVY3MXoo,spotify:track:4S1VYqwfkLit9mKVY3MXoo,83.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,10,BOMB,2:31,,18,3264,2024,8,1,"track:""BOMB""",13MF2TYuyfITClL1R2ei6e,spotify:track:13MF2TYuyfITClL1R2ei6e,78.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,11,RIVER,4:07,,63,3041,2024,8,1,"track:""RIVER""",3hhbDnFUb2bicI2df6VurK,spotify:track:3hhbDnFUb2bicI2df6VurK,77.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,12,530,4:50,,47,3040,2024,8,1,"track:""530""",2tPNj9sUt3FbjEUqBzZazv,spotify:track:2tPNj9sUt3FbjEUqBzZazv,65.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,13,DEAD,4:23,,44,2893,2024,8,1,"track:""DEAD""",3NFs3XUduzBfvc5Bx1gmzh,spotify:track:3NFs3XUduzBfvc5Bx1gmzh,83.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,14,FOREVER ROLLING,3:17,,47,2866,2024,8,1,"track:""FOREVER ROLLING""",1MTpRBLniy6298BCdyKUfQ,spotify:track:1MTpRBLniy6298BCdyKUfQ,53.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,15,SKY CITY,4:22,,35,2966,2024,8,1,"track:""SKY CITY""",7a0tTD7xdvKsNcJfMIDWp4,spotify:track:7a0tTD7xdvKsNcJfMIDWp4,56.0,,,,,,,,,
VULTURES 2,"Pop Rap, Trap, Alternative R&B",40,28,16,MY SOUL,3:44,,38,2832,2024,8,1,"track:""MY SOUL""",29WzGUGLiJHeFQSfuZ63QU,spotify:track:29WzGUGLiJHeFQSfuZ63QU,32.0,,,,,,,,,
